wid,stimulus,button_pressed,view_history,questions,responses,correct,block,delays,score,trial_time,path,state_rewards,trial_index,key_press,clicks,n_clicks,stim_i
w5957bc7,,,,,,,training,"[3, 41]",-55.0,98630.0,"['0', '5', '6', '7']","['', -4, 8, 48, 24, 2, -8, -48, -24, -4, -4, 48, -24]",0,,[5],1,5
w5957bc7,,,,,,,training,"[0, 40]",23.0,108202.0,"['0', '9', '10', '11']","['', 2, 8, -48, -24, 2, 8, -24, -48, 4, -4, 24, -48]",1,,[7],1,11
w5957bc7,,,,,,,training,"[0, 0]",53.0,16569.0,"['0', '9', '10', '11']","['', 2, 4, -48, -24, -4, -8, 24, -48, -2, 8, 48, -24]",2,,[11],1,49
w5957bc7,,,,,,,training,"[0, 40]",23.0,131391.0,"['0', '5', '6', '8']","['', 4, -8, -48, -48, -4, 4, 24, 24, -2, -8, -24, 48]",3,,[3],1,7
w5957bc7,,,,,,,training,"[0, 18]",13.0,29879.0,"['0', '9', '10', '11']","['', 4, -8, 24, 48, 4, -8, -24, 48, -2, -8, 24, -24]",4,,[11],1,47
w5957bc7,,,,,,,training,"[0, 0]",45.0,11918.0,"['0', '9', '10', '12']","['', 2, 4, -48, 48, -4, 4, -48, -48, 2, -4, 24, 48]",5,,[12],1,17
w5957bc7,,,,,,,training,"[0, 40]",-49.0,60162.0,"['0', '1', '2', '3']","['', 4, -4, -48, -48, 4, 8, 24, -24, -2, 8, 48, -48]",6,,[12],1,44
w5957bc7,,,,,,,training,"[0, 0, 0, 0, 0, 0, 0, 3, 2]",12.0,37317.0,"['0', '9', '10', '11']","['', -2, 4, -24, 24, -2, -4, -48, -48, 4, -8, 24, 24]",7,,"[8, 11, 3, 4, 12, 7, 10, 9]",8,43
w5957bc7,,,,,,,training,"[0, 0, 2, 0]",53.0,15175.0,"['0', '9', '10', '11']","['', -4, -8, -48, -48, -4, -4, 48, 24, 4, 4, 48, -48]",8,,"[12, 11, 10]",3,50
w5957bc7,,,,,,,training,"[0, 0]",51.0,9264.0,"['0', '5', '6', '8']","['', -4, 8, -24, -48, -4, 8, -48, 48, 4, -8, -24, 48]",9,,[8],1,39
wcacd23b,,,,,,,training,[],46.0,11743.0,"['0', '9', '10', '11']","['', 4, -4, -48, 24, -2, -4, 24, 48, 4, -4, 48, -48]",0,,"[9, 11]",2,29
wcacd23b,,,,,,,training,[],34.0,9740.0,"['0', '9', '10', '11']","['', -2, 8, 24, -48, 2, 4, -24, 24, -2, -8, 48, -24]",1,,"[7, 4, 12, 11]",4,8
wcacd23b,,,,,,,training,[],51.0,8540.0,"['0', '1', '2', '3']","['', -4, 8, 48, 24, 2, -8, -48, -24, -4, -4, 48, -24]",2,,[3],1,5
wcacd23b,,,,,,,training,[],39.0,24863.0,"['0', '1', '2', '3']","['', -2, -4, 48, 24, 2, 4, -48, 48, -4, 4, 48, 24]",3,,"[3, 7, 12]",3,12
wcacd23b,,,,,,,training,[],14.0,23034.0,"['0', '9', '10', '11']","['', -2, 4, -24, 24, -2, -4, -48, -48, 4, -8, 24, 24]",4,,"[7, 4, 12, 11, 3, 8]",6,43
wcacd23b,,,,,,,training,[],52.0,9425.0,"['0', '9', '10', '11']","['', -4, -8, -48, -48, -4, -4, 48, 24, 4, 4, 48, -48]",5,,"[1, 9, 5, 11]",4,50
