pid,bonus,completed,startTime,train_height
195,1.57,True,Tue Feb 25 2020 12:28:02 GMT-0500 (Eastern Standard Time),3
196,1.84,True,Fri Jan 10 2020 13:05:47 GMT-0500 (Eastern Standard Time),2
197,1.62,True,Fri Jan 10 2020 13:42:29 GMT-0500 (Eastern Standard Time),2
198,0.0,True,Tue Feb 25 2020 10:38:29 GMT-0700 (Mountain Standard Time),1
199,1.91,True,Tue Feb 25 2020 12:43:56 GMT-0600 (Central Standard Time),3
200,1.69,True,Fri Jan 10 2020 12:33:15 GMT-0500 (Eastern Standard Time),3
201,2.11,True,Mon Feb 24 2020 16:09:39 GMT-0500 (Eastern Standard Time),3
202,0.63,True,Tue Feb 25 2020 11:54:53 GMT-0600 (Central Standard Time),3
203,0.57,True,Thu Jan 09 2020 13:55:33 GMT-0800 (Pacific Standard Time),1
204,0.0,False,Fri Jan 10 2020 11:05:02 GMT-0700 (Mountain Standard Time),1
205,1.53,True,Fri Jan 10 2020 12:33:14 GMT-0500 (Eastern Standard Time),3
206,0.77,True,Mon Feb 24 2020 11:22:57 GMT-0800 (Pacific Standard Time),1
207,2.27,True,Fri Jan 10 2020 12:42:12 GMT-0600 (Central Standard Time),3
208,1.68,True,Mon Feb 24 2020 14:24:34 GMT-0500 (Eastern Standard Time),3
209,0.22,True,Fri Jan 10 2020 13:07:08 GMT-0500 (Eastern Standard Time),1
210,1.86,True,Mon Feb 24 2020 15:50:36 GMT-0500 (Eastern Standard Time),3
211,0.45,True,Fri Jan 10 2020 09:42:28 GMT-0800 (Pacific Standard Time),2
212,1.86,True,Fri Jan 10 2020 12:58:42 GMT-0500 (Eastern Standard Time),3
213,1.31,True,Mon Feb 24 2020 12:54:33 GMT-0800 (Pacific Standard Time),1
214,1.77,True,Fri Jan 10 2020 13:32:36 GMT-0500 (Eastern Standard Time),3
215,1.76,True,Thu Jan 09 2020 16:25:27 GMT-0500 (Eastern Standard Time),2
216,1.05,True,Mon Feb 24 2020 15:16:59 GMT-0600 (Central Standard Time),1
217,1.77,True,Fri Jan 10 2020 13:45:07 GMT-0500 (Eastern Standard Time),3
218,1.75,True,Fri Jan 10 2020 11:25:04 GMT-0800 (Pacific Standard Time),3
219,2.09,True,Mon Feb 24 2020 11:49:40 GMT-0800 (Pacific Standard Time),3
220,0.0,False,Mon Feb 24 2020 12:58:29 GMT-0600 (Central Standard Time),1
221,0.0,False,Fri Jan 10 2020 12:54:48 GMT-0500 (Eastern Standard Time),1
222,1.84,True,Tue Feb 25 2020 14:35:21 GMT-0500 (Eastern Standard Time),2
