wid,startTime,feedback,bonus,completed,previously_participated,n_quiz,instruct_time,total_time
w7fecdaa,Tue Feb 09 2021 12:25:07 GMT-0500 (Eastern Standard Time),none,0.54,True,No,1,[137825],12.2656
wceb13b9,Tue Feb 09 2021 11:49:01 GMT-0500 (Eastern Standard Time),none,0.07,True,No,3,"[88296, 55416, 7163]",9.1989
wea707d2,Tue Feb 09 2021 11:33:11 GMT-0600 (Central Standard Time),none,0.3,True,No,1,[117048],8.192
w89d15a2,Tue Feb 09 2021 12:22:55 GMT-0500 (Eastern Standard Time),none,0.35,True,No,1,[214215],18.82915
wa5cdb15,Tue Feb 09 2021 12:09:29 GMT-0500 (Eastern Standard Time),action,0.44,True,No,1,[94313],13.258083333333333
weca3ebb,Tue Feb 09 2021 09:33:45 GMT-0800 (Pacific Standard Time),meta,0.53,True,No,1,[91518],12.481983333333334
w1de8ef1,Tue Feb 09 2021 12:03:55 GMT-0500 (Eastern Standard Time),action,0.0,False,,2,"[760406, 40264]",
w8c99ce4,Tue Feb 09 2021 11:35:23 GMT-0600 (Central Standard Time),action,0.0,True,No,1,[157343],20.575033333333334
w8062067,Tue Feb 09 2021 11:59:16 GMT-0500 (EST),meta,0.36,True,No,1,[140672],12.9244
w9a2630d,Tue Feb 09 2021 10:25:36 GMT-0600 (Central Standard Time),action,0.0,False,,1,[130760],
w6fd3105,Tue Feb 09 2021 12:10:15 GMT-0500 (Eastern Standard Time),none,0.56,True,No,1,[85575],12.2198
w3ae32ea,Tue Feb 09 2021 11:13:25 GMT-0800 (Pacific Standard Time),action,0.44,True,Yes,3,"[72590, 20731, 23851]",18.626666666666665
w54c1afa,Tue Feb 09 2021 12:31:44 GMT-0500 (Eastern Standard Time),meta,0.52,True,No,2,"[55930, 13925]",10.546216666666666
w35943a3,Tue Feb 09 2021 11:29:38 GMT-0600 (Central Standard Time),none,0.26,True,No,2,"[794134, 39571]",20.6186
w4034804,Tue Feb 09 2021 09:13:54 GMT-0800 (Pacific Standard Time),none,0.58,True,No,1,[110270],8.672616666666666
w7407c83,Tue Feb 09 2021 10:46:51 GMT-0700 (Mountain Standard Time),none,0.57,True,Yes,1,[98059],10.726783333333334
w765ccfb,Tue Feb 09 2021 11:22:05 GMT-0600 (Central Standard Time),meta,0.65,True,No,1,[76211],11.1278
we5c5af6,Tue Feb 09 2021 11:25:02 GMT-0600 (Central Standard Time),action,0.54,True,No,1,[72334],11.6741
w0223588,Tue Feb 09 2021 12:15:25 GMT-0500 (Eastern Standard Time),none,0.66,True,No,1,[58903],8.6281
w3befd75,Tue Feb 09 2021 12:17:44 GMT-0500 (Eastern Standard Time),action,0.41,True,No,1,[123735],13.631283333333334
w30d205e,Tue Feb 09 2021 11:19:32 GMT-0600 (Central Standard Time),meta,0.53,True,No,1,[89725],10.600916666666667
wd8e6fd9,Tue Feb 09 2021 10:18:45 GMT-0800 (Pacific Standard Time),none,0.63,True,No,1,[83882],8.657183333333334
w9e08d13,Tue Feb 09 2021 10:24:29 GMT-0700 (Mountain Standard Time),none,0.1,True,No,1,[118153],9.11375
wc09f7fe,Tue Feb 09 2021 19:26:38 GMT+0200 (Israel Standard Time),meta,0.54,True,No,4,"[108366, 6794, 30848, 24458]",17.8292
wc9bcf64,Tue Feb 09 2021 17:59:34 GMT+0000 (Hora padr&#227;o da Europa Ocidental),action,0.53,True,No,1,[101863],13.371866666666667
w670d200,Tue Feb 09 2021 12:31:38 GMT-0500 (Eastern Standard Time),meta,0.63,True,No,1,[123244],17.339666666666666
w60a85d3,Tue Feb 09 2021 09:24:01 GMT-0800 (Pacific Standard Time),none,0.33,True,No,2,"[102932, 100638]",10.15675
w485cb97,Tue Feb 09 2021 11:25:40 GMT-0600 (Central Standard Time),action,0.68,True,No,1,[106443],15.73
w24bfe32,Tue Feb 09 2021 12:56:46 GMT-0500 (Eastern Standard Time),action,0.58,True,No,2,"[100453, 55653]",13.993683333333333
w7d8f2b2,Tue Feb 09 2021 09:56:20 GMT-0800 (Pacific Standard Time),action,0.58,True,No,1,[182466],16.6499
wc57a9c3,Tue Feb 09 2021 11:59:18 GMT-0500 (Eastern Standard Time),none,0.43,True,No,2,"[113731, 22890]",10.608733333333333
w698a999,Tue Feb 09 2021 12:05:49 GMT-0600 (Central Standard Time),action,0.0,False,,1,[56236],
wfe10a70,Tue Feb 09 2021 11:14:13 GMT-0600 (Central Standard Time),meta,0.58,True,No,1,[55946],11.286
wd01f0e7,Tue Feb 09 2021 12:24:55 GMT-0500 (Eastern Standard Time),none,0.56,True,Yes,2,"[60958, 29717]",9.7116
wa78334b,Tue Feb 09 2021 12:31:14 GMT-0500 (Eastern Standard Time),none,0.7,True,No,1,[106349],12.245033333333334
wcfe99c3,Tue Feb 09 2021 09:10:27 GMT-0800 (Pacific Standard Time),action,0.92,True,No,1,[94661],8.823183333333333
w1f7eec1,Tue Feb 09 2021 11:26:52 GMT-0600 (Central Standard Time),none,0.23,True,No,1,[80597],8.714416666666667
wc0fa458,Tue Feb 09 2021 11:27:54 GMT-0600 (Central Standard Time),action,0.71,True,No,2,"[95300, 72941]",14.159566666666667
wf79d9a6,Tue Feb 09 2021 12:28:25 GMT-0500 (Eastern Standard Time),none,0.54,True,No,2,"[66334, 23526]",8.245516666666667
wcb756e3,Tue Feb 09 2021 12:20:01 GMT-0500 (Eastern Standard Time),none,0.39,True,No,1,[88748],8.48545
w1d333c2,Tue Feb 09 2021 11:24:05 GMT-0500 (EST),action,0.45,True,No,1,[156825],13.105983333333333
wb8c55f8,Tue Feb 09 2021 09:25:57 GMT-0800 (Pacific Standard Time),meta,0.53,True,No,1,[200126],21.3442
